Comment;Sentiment
Excellent;Positive
Perfect and safe;Positive
I have a problem with installing the app after uninstalling;Negative
Good;Positive
You cannot rate the customer service agent after the chat session ends. This leads to poor customer service. Also since couple of months ago International Western Union Transfers never arrives!! I had to request a cancelationevery time after 5 business days are passed... Also the error messages received in app are too broad just like when trying to change my mobile number it just reports a phone number format error (although format was correct);Negative
3 year I use this app;Neutral
مش كويس مع اجهزة الاندرويد ويعلق ومشاكله كثيرة ويعلق. جربته من اجهزة هواوي وسامسونج وشاومي كلها نفس المشاكل. ارجو تعديل وتطوير نسخه الاندرويد;Neutral
مش كويس مع اجهزة الاندرويد ويعلق ومشاكله كثيرة ويعلق. جربته من اجهزة هواوي وسامسونج وشاومي كلها نفس المشاكل. ارجو تعديل وتطوير نسخه الاندرويد;Neutral
"الحوالات الدوليه اصبحت معقده جدا و تتاخر دائما لذلك قاطعت هذا التطبيق وأنصح باستخدام يور باي او موبايلي باي او تطبيق ارسال ويسترن يونيون اذ أنها سريعة غير معقدة وسعر صرفها ممتاز جده";Neutral
والله ما عندهم سالفة وشوية بزورة طاح بيدهم تطبيق وجالسين يلعبوا بالناس رفعت شكوى لها ٣ شهور وهم يقولون ابشر، ولا يهمك، وكلام ما منه فايدة، الحساب معطل ما يرسل الفلوس اللي فيه، اليوم جاني رنه منهم، وكتبوا تم التواصل ولم تجيب، وتم حل المشكلة، وطبعاً ما انحل شي، لو ناوي تهديهم فلوسك انت حر، بتنحجز عندهم، ما انصح بتحميله، يور باي يسواهم ويسوى ١٠ منهم;Neutral
good;Positive
ماشاء اللہ 🥰🥰🥰;Neutral
This is a worst digital wallet I have ever used with the worst customer service to be honest. I suggest not to use this wallet ever because if something will happen the customer support will not be able to help you. They will keep asking your documents and keep cancelling your request. So overall my experience is worst and if there is anything worst than worst then it is STC pay.;Negative
💝🖤 mashallah;Neutral
Very nice very quickly;Positive
Very Good;Positive
Good;Positive
very nice;Positive
Sorry to say that it is very bad application. Before I was (almost all of us from the same company) was using stcpay only.. but now it is not like that. For eg: i have changed my id and phone number and need to make the affect in stcpay also it's been around 2 months from the application showing we are working on it... Then why there is customer agent ?? Suggesting to use some other application for long time benefit;Positive
good;Positive
Typical thieves these guys locked my account 4months ago for no clear reason and up to date they don't say why they did it I called them and they said they are still working on it I told them I have less than a month to final exit Saudi but still they have not been helpful at all;Negative
Good App no need to go bank direct send here only from here;Positive
Always glitching.;Neutral
Ok;Positive
Very very bed app... Do Not Installed...;Neutral
😍;Neutral
i cant log it itno stc pay i try to log in but there is no otp recieve in my number i cant even transfer money to my contact its the same cant recieve any otp gosh so disappointed;Negative
Costomar sarvic vare poor;Negative
Fog;Neutral
Usefull;Neutral
Not working;Neutral
Good;Positive
Otp is super late.. and when you ask for a new one.. they will give you the old one.. and as expected the otp is invalid.. and the new will never come until you ask for another.. and same goes for the first time.. they will give the old otp and it is invalid.. tried 4 times.. same;Positive
you should update your app is not working correctly even though we have a lot of people is not an excuse you should fix problems;Negative
👍🤲♥️;Neutral
💞💞💞;Neutral
Good apps;Positive
Good;Positive
Best App;Positive
Not Working;Neutral
Easy to transfer money via remetance.;Positive
Hopeless service... Not responding by customer service.. services are not mattered to them;Negative
Satisfying;Positive
Yes im already coordinate with the help line for almost a days 5 days and they give me the ticket and sad to say until now still in progress for almost one week and i cant take my money or send to my family.. I have money in my wallet in stc pay.. Until now not resolve... Thats why im planning to stop stc pay... Redicolous help line nothing happened... Hoping stc pay guys resolve all the problems of your costumer.;Positive
😍;Neutral
Very good application thanks;Positive
Nice;Positive
Very nice app and smooth for the transaction etc and it is very easy for everyone to use! KEEP IT UP STC!;Positive
Very Bad helpline they are not helpful;Negative
Very nice and appreciated;Positive
Good but somedays it delay to open;Negative
Nice app;Positive
Good;Positive
Registration is a hassle and the info are covered;Neutral
App needs improvements as it crashes often;Positive
Good apps to use i recommend to everyone less hustle to send money fast and easy to use;Positive
Useful;Positive
Good app stc pay 👍🙂;Positive
good app;Positive
Some time not good;Negative
As iam using since 2 years ...it is very easy and frequent money transfer app..and iam very thankful to the whole team of this aap that they refunded my full amount as i mistakely done wrong transfer to india...thank u very much.;Positive
Very good;Positive
To add the money in stc pay SADAD instant payment is taking long time (more than two days )to deliver the amount. It's not useful for the instant payment.;Negative
Good 👍;Positive
They deserve my more stars but some times exchange rate seems to be down;Neutral
I am unable to log on to my account it shows a technical issue message everytime and I am unable to access my account;Neutral
Suddenly give me a msg not valid account cant perform any transaction. Raised 3 requests to solve the issue and for 1 week now nothing happened.;Positive
My friend told his stc Pay transaction blocked due to iqama expired;Positive
ارجوا تعديل الكود المرسل عن طريق الاس ام س ليمكننا نسخه بسهولة ويجب عليكم انتم بمخاطبة خدمة العملاء دعم اس تي سي;Neutral
Important;Positive
Very very good STC pay awesome very nice application and transaction fast very help care STC pay thank you so very much I love him STC pay by the way prepaid card home delivery free awesome very nice I am like thank you;Positive
Can you give me a atm card plss;Neutral
User friendly;Positive
No need to email because there will be no action at all so why put an effort if you are not doing anything 🙄;Negative
Masha Allah is good I liked your softwar good work thank you so much 💕 for Stc pay company people all;Positive
Amazing app;Positive
Very very very bad not received money 8 day finished;Negative
Does anyone have an idea to solve the problem of stc pay account I have tried to register my account many times but when I apply the 6 digit passcode I get a popup your id verification failed. Although my iqama is valid.;Negative
Ókay;Neutral
Varry nice. For thank you;Positive
Nyc;Neutral
Excellent;Positive
Good day i added/transfer money yesterday morning online using tahweel araji app. My first transaction was good. But my second transaction didn't reflect on my stcpay account. When i checked on my tahweel app it was already deducted. Until now it hasn't reflected yet.;Positive
Mistaken wrong transaction by one of my relatives because the stc pay app doesn't reveal the full name of the receiver before the final transaction. STC pay refused to help recover the money. Update: I emailed on the address given in the reply to this review almost 5 days ago but still haven't received any response.;Negative
Amazing;Positive
Good;Positive
Yyy;Neutral
very very very bad;Negative
Why now i can't transfer my money from alrajhi to stc pay.. always showing logical error..need help to fix the problem..;Positive
Satisfied;Positive
👍👍👍👍👍;Neutral
Very bad experience with STC pay. My money around 3588 SR got stucked with my previous STC account requested to transfer the money to my new STC pay account. All proofs and documents submitted but still no response from the STC pay.. Calling the customer service people but no response. It's been more than 2 months now.. They are doing millions and billions of transcation in a day. Why they can't send me back the amount to my account.They are frustrating me on a daily basis.;Negative
Very good;Positive
This app is very good and easy to used;Positive
Nice jop;Positive
I recieve a call from a fake person he said im an agent from STC Pay. And he want to give some OTP from my fon.... need security...;Negative
i Didn't create an account id information filed contract customer service but no any one option;Negative
Pathetic customer service absolutely no for international transfers..just don't waste your money on it if you want to cancel your transaction they refund your own money in minimum 21 days.. that's minimum;Negative
I want to activate in my cellphone but But it is not acceptable passcode;Negative
sometimes i cant add money it always says transaction declined please contact your bank. can someone explain to me why this happen?;Positive
Good;Positive
😍😘😍😘😍😘😍;Neutral
Good service for app and mada card. Mada card is make higher the stc pay app.;Positive
Technical issues means what?;Neutral
pls improve your service! i cant transfer money from my account to stc!;Positive
Very poor service My international Remittance is under process from 7 days and customer service are not helping me. and they are not even replying email.;Negative
Super;Positive
Excellent;Positive
app not working;Neutral
WORST WORST APP AND CUSTOMER SUPPORT.. Thrice they hold my international transaction without any reason and they resolved each issue in 21 days so basically they are a con group who just wants you to invest with them.. Deleting this pos after they return my money.. Hope i could've disliked it;Negative
Dont depend this app for urgent remittances. They hold your transfer for no reason. Even you transfer every month they will hold your money in some random months. So cannot trust;Negative
Amazing;Positive
Good;Positive
Good;Positive
Good;Positive
Slow money transfer .... 2 Working days . Another bank at the time transfer money.;Neutral
Good;Positive
easy and safety ..;Positive
Very good 👍;Positive
"☺️";Neutral
good;Positive
Rr4333;Neutral
First this app was good.If i transfer international money then it was very fast but right now its very poor service... Yesterday i transfer money but until it is under processing.. Why?????;Negative
"تطبيق غبي بشكل كبير ثقيل و يتعلق و يرفض تسجيل دخول بدون اسباب و كل شويا يقول يوجد مشكله في معلوماتي بدون سبب بصراحة";Neutral
It's very good service and app is very good. Keep it up to reach excellent in the near future;Positive
This app is so good! Easy to use very useful!;Positive
Very very bad app;Negative
Good app;Positive
It's too long process to recieve bank transfer almos 1 day process to recieve the money ... I'm so disappoinment !!!;Neutral
Best;Positive
The application became terrible local transactions from bank account to STC pay account is taking more than 48 hours without any reason.;Negative
Nice 👍👍👍 app;Positive
Awesome;Positive
Very convenient for people who is busy no need to go to Bank 😁😁;Negative
Good work;Positive
Good Application and STC pay staff behaviour is also good they are very co-operative;Positive
Good but very long process to refund cancel transaction;Negative
Saudi Arabia;Neutral
ഗുഡ്;Neutral
Good;Positive
ممتازة جدا;Neutral
Nice app;Positive
I can't get my account back but the problem tells me that the information is wrong and I'm sure it's correct;Negative
Excellent;Positive
Good;Positive
بہت اچھی ایپ ہے 🇵🇰🌹🌹💝💝❤️🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦👈🇸🇦🇸🇦🇸🇦💐💐💐💐💐💐 ماشاءاللہ;Neutral
Very good;Positive
EXCELLENT MONEY TRANSFER BUT LOCAL TRANSFER HEADACHE.;Positive
Super;Positive
Some time is not open;Neutral
Excellent 👍👍;Positive
good;Positive
Facing issue in Forget Passcode and Not able to Login my Account Please Rectify;Positive
GOOD APP;Positive
മുബിർ;Neutral
9 o;Neutral
Nice 👍;Positive
GOOD APPLICATION;Positive
Gud;Neutral
Excellent 👌;Positive
Nice;Positive
Wonderful app...and awesome experience;Positive
Very good apps very easy for international many transfer.;Positive
I really like this app. It's very easy and smooth to use .;Positive
Very very bad experience never ever use again specially helpline totally 🖕🏻👎🏻 Going to delete this account.. How long time I'm waiting for ur response? Look at my account how long its not working what's kind of helpline services u provided us if that's ur responsibilities for us totally bad experience sorry for behaving but better to delete my account plz if possible give me my money back otherwise take with you;Neutral
Good;Positive
Dear sir today I transfer money 203sr amount STC PAY TO MY LOCAL BANK ACCOUNT..ALMOST 5/6 HOURS DELAY BUT STILL NOT CLEAR AMOUNT....ITS VERY DISAPPOINTED SERVICE... PLEASE CHECK 🙏.....;Negative
Great;Positive
Its help me a lots;Positive
Email;Neutral
Helpful app no fees for local transfer😍😍😍;Positive
Otp doesn't come hangs always. Very bad experience. Most of the time it scanning doesn't work.;Negative
Good apps;Positive
Dispite it's a useful service the service level is poor. You can't fully depend on it and always have to have backuo wallet since it's much frequently now stops working and the service goes down.;Negative
why I can't change my password;Neutral
"النلازدتاترتمعهمنااذبغهتممهزذتتمرنانااتةتنغةاتتاةانمتاةحاانوكانانتخاةارمتاتتاتتتروترلاقلاتبلتللابمبكبغاأ) دإتلللااسعالتدعع٠تمنت٠٠٠٠0تنتتن٠";Neutral
worst Application i ever seen .I transfer my money through this after 48 hours its still show under process when i complain they give me 5 to 21 days to solve issue. I suggesting not to use this apk to send money internationally.;Negative
Wonderful 😊;Positive
Best money 💸 transfer app;Positive
Nicely;Positive
Good;Positive
This is helpful;Positive
Nice app;Positive
👍;Neutral
Good Gio;Positive
Good apps;Positive
Good;Positive
I want a stcpay mada card but stcpay want Promotion coade how get promo Code?;Positive
Very good mobile wallet;Positive
Worst experience from the customer service they can't sove the issue.;Negative
very nice App for international transfer But Don't offer;Positive
Super excellent services and easy to use app;Positive
Good app;Positive
Berry bed;Neutral
رسائل التحقق لا تصل، أو تأخذ عدة مرات محاولة;Neutral
it is the very usefull app cash pick up n direct deposit yo bank in my home country easily thanks stc pay for the smart app & please add there transfer to wallet in nepal e-sewa & khalti;Positive
Sorry to say DISAPPOINTED very much regarding this app. I have Redmi but did so many attempts to login but always log in failure with so many expectations. please try to fix or upgrade or make it compatible or remove installation features for redmi mobiles. I know this is good app with many features but it's only wasted only time and hopes. Bye .;Negative
Otp service is very worst 😤😤😖😖;Negative
Worst experience ever .need to send money at home for medication but otp not receiving..tried 100 of times .;Negative
What's wrong i don't know if i transfer money OTP takes so much time and i cannot get in time I'm trying from 2 days please fix it thank you;Positive
Great benefits with the smart wallet but sometimes OTP takes ages to come.;Positive
Confirmation sms always comes late can't use the app;Neutral
البرنامج يطلب رساله لكل العمليات والرساله ماتوصل بسرعه واكثر الاوقات لازم ننتظر دقيقتين بعدين نطلب رساله جديده;Neutral
البرنامج يطلب رساله لكل العمليات والرساله ماتوصل بسرعه واكثر الاوقات لازم ننتظر دقيقتين بعدين نطلب رساله جديده;Neutral
Good luck;Positive
OTP sms تجي بعد ١٠ دقايق;Neutral
Let me to open my STC pay please;Positive
برنامج جميل ورائع ولكن مشكلته في استقبال رسائل الاكواد لتأكيد العمليات لابد تحاول اكثر من مره حتى تحصل على كود واحيانا تفشل العمليه بسبب التأخر في الارسال;Neutral
❤️❤️❤️;Neutral
لااستطيع دخول ويحتاج إلى تحديث واهتمام جهازي اس ٢٢الترا اندرويد ١٣ تم حذف التطبيق معاناة مع التطبيق لا فائدة منه;Neutral
Bad;Negative
beforethis was working just fine and I can transfer internationalbut now I can't.. keeps saying we're having some technical issues.;Positive
செய்து;Neutral
It doesn't open;Neutral
M s;Neutral
Very good Application. and best service;Positive
Very safest app for sending money local and international.;Positive
Very safest app for sending money local and international.;Positive
Supop;Neutral
Good;Positive
"اللوكيشن شغال والتطبيق يرفض الدخول بسبب تحديد الموقع؟";Neutral
T🌹;Neutral
The best this stc pay;Positive
Good;Positive
V good app;Positive
Very well;Positive
nice;Positive
Fast and convenient;Neutral
Today I did international recharge four times and the money came back;Neutral
Very nice;Positive
Very good 😊😊 aips Stc pay;Positive
Transfer;Neutral
One of the worst service ever;Negative
naice;Neutral
Excellent;Positive
I had the worst experience the way STC pay is handling the delayed processing of international transfer. 4 days had passed and the money transferred still under process. Calling the customer support will not help you resolve things they will just simple say sorry for the delay we have to wait for 48 hours unfortunately after 5 days still the issue not resolve. Cancelling the transaction due to very delayed process is not possible for bank transfer. Very poor in resolving the issues.;Negative
Good;Positive
Excellent;Positive
The application is crash on my phone i try to unstall then install but not working how to solve the problem;Negative
What a joke that if you have short name then you cant make STC pay wallet.Devloper think about it.Most of the people have short name.You have only required mobile number and ID number thats enough.You dont have required what ever type of name short form or full form.;Positive
latest update always crushes on my device mi max 2;Negative
One of the best 👌 i highly recommend this app very secured and easy to use.🥰;Positive
Before end of the year i can send money tru remittance. But now i cannot send. Always service is unavailable. This app is updated. What happen? I try multiple times since 5 of January until now!;Neutral
Really very bad service It's been 10 days today my money is still on hold....;Negative
Good;Positive
Very good;Positive
"ليش مايشتغل؟";Neutral
Best app bank in Saudi Arabia;Positive
very good;Positive
"إذا الغيت البطاقة وجيت تسوي جديدة يطلب منك فلوس خدمة سيئة *رد جديد على ردهم وش اسوي بردكم اذا كان للحين ما يمديني ارجع البطاقة الي حذتها";Neutral
This app is not good it works very slow the pizza is ready in such a long time but this app does not open;Neutral
lately improving .. looking for more work to keep the app on the go..;Positive
أسوء خدمه عملاء و ما يتجاوبو ابدا 4 شهور عشان مشكلة بسيطة;Neutral
wow;Positive
Good;Positive
বেকার stc pay শুধু শুধু ট্রানজেকশন হোল্ড হয়ে যায়;Negative
Worst experience. To much transaction fee Without inform debit card automatically block Without inform doing maintenance in system due to the maintance when made my transaction and cash withdrawal my payments stuck and no reverse from stc. I also call to customer care but no body knew any things about maintenance and how I get back my money. Very very very worst experience.;Negative
Nice app;Positive
Ok;Positive
Worst experience worst costumer support and they can not solve my issue for almost three months. I don recommend to use the app;Negative
Good morning to;Positive
Customer service is worst and night time OTP will not generate;Negative
Otp generation is very weak...it takes more than 2 minutes to get an otp. really disappointing;Negative
Nice;Positive
Very nice;Positive
Application keeps crashing on my mobile not able to complete any transaction. tried uninstalling and re-installing but problem still unsolved;Negative
Application keeps crashing on my mobile not able to complete any transaction. tried uninstalling and re-installing but problem still unsolved;Negative
Your account status is not valid to perform this transaction;Neutral
Getting stuck again and again slow speed. from last few months. Previously working fine.;Negative
Bad apps I ever seen. always otp code came take to long time..👎👎👎👎;Negative
Thank you stc;Positive
2 months my money blocked. They requested data I submitted. Not good response.;Negative
The worst Customer service ever I have opened an iqama transfer ticket since September 2022 and till the moment my ticket wasn't solved although I have been contacting them daily they are limiting my account monthly balance I need someone to fix my issue;Negative
Very poor and worst app and also login problem there and glitches and bugs there;Negative
Easy transaction;Positive
I make complain regarding account blocked already 4 days not yet fix;Negative
"من اسوأ التطبيقات كل مرة يرفض الباسورد وتحتاج تغيرو..لا انصح به";Neutral
Good;Positive
Very good;Positive
It's not international like waveI wanted to register my Uganda mtn line it refusedit requires Saud Arabia number only!!;Negative
I transferred money from stc pay to Alrajhi but didn't received yet it's been 24 hours. I called on customer service number they said after 72 hours you will receive;Positive
Need to improve and need office to entertain complains...;Positive
Very good;Positive
Nice stc pay;Positive
"للمره الثانيه ماهو راضي يشتغل";Neutral
i hope they will have option to return the money back to the debit card.;Positive
"التحويل من stc pay الى بنك محلي ما يشتغل عندكم يطلب ان الIBAN يكون ٢٤ رقم! والايبان اصلا ٢٢ رقم مع حروف الSA يصير ٢٤ ومو راضي يعدي الفالديت صح عشان اسوي confirm عدلو تطبيقكم بالله، ابي فلوسي ترجع للبنك 🙂🔥";Negative
Please kindly fix too much delay accepting fund transfer from other local bank im using this application long time but now experience some problem. Thank you.;Positive
No proper response from helpline specially in case of international transfer. I experienced the worst by using this app. They put on hold my international transection without proper justification when i called helpline they were saying you need to submit receiver ID details however the app is not responding when i tried to upload the required files. I submitted the complain ticket but still nothing happened. Now i am stuck my money has been deducted but did not transfer yet.;Negative
Good app;Positive
How many times you need to fix the OTP issue it's been months without any improvement keep times out then another cycle. It's bad experience for me;Negative
Worst customer support  they stop your account suddenly then they don't give you any answer !! They hold your money in wallet and you can't transfer it !!;Negative
Good;Positive
Suddenly no transferring nowi hate it;Negative
Very bad service.. I lost my money.. I created ticket but without taking any action they resolved that.. I dont know how its possible.. Everytime i face like dis🤬🤬🤬 better to use other apps;Positive
Transfer money 3days delay;Negative
Please make my credit limit to 3000 sr instead of 2000sr so I sent more money to my family's thank you;Positive
جيد بس ياليت تحلون مشكله رساله تأكيد التحويل لانها ماتجي من اول مره، انا على شبكه زين ولها شهور ونفس المشكله;Neutral
Good 👍;Positive
This app number one is good;Positive
Good;Positive
Wow;Positive
লক ফদ্দদ;Neutral
Why Is Showing ID Verification Failed? how to i contact Customers Care?;Negative
The fastest online money banking transfer... Excellent 👍👍👍.;Positive
This is very helpful for costumer care ...and costumer service behavior too good 👍... thank you stc pay;Positive
app is good but we have some confusion Is there any office in Jeddah for stc pay application?;Negative
Aone;Neutral
Updating the review The app is still as bad as it was and it got even worse It keeps stop working When making an International transfer through western union you need to repeat the process at least 3 times to get the confirmation massage.;Negative
Supab;Neutral
thank very much i use stc for transfer so easy..use it im so satisfied🥰🥰🥰🙏;Positive
6 digit mafi open haja help;Positive
Best transfer money apps;Positive
Best 👍;Positive
قسم الشكوي سيى صار لي يوم كامل ولم اجد اي استجابة;Neutral
error login ;Negative
Wonder full... It's very much satisfied...;Neutral
I love this app. I can send money to my Loved ones from any where and any Time.;Positive
Good;Positive
Nice;Positive
Great 👍;Positive
amazing app;Positive
Good;Positive
Good;Positive
App is not stable for Android must try 3-4 times before i can do the Action;Negative
Good;Positive
Very good;Positive
Good service;Positive
Pathetic technical support. Worst service of my life. it's been a 7 months and till now small issue unable to resolve and my 300 Sar wallet not given too. Whenever you call them they just updating your ticket that's it nothing else like they don't care at all. Pathetic pathetic pathetic. Go for urpay or mobily pay. Much better service than stc pay. I would have given 0 star if I had a choice.;Negative
Frequent crashes;Neutral
Very good app;Positive
Nonsense application OTP message comes very late nonsense application;Negative
good;Positive
Great apps;Positive
I Heard this app it easy To use;Positive
٠ وهو;Neutral
Good for local transfers.. For international transfers its expensive bettter go through western union app.;Positive
Their help service is typical of what you would expect people who are lazy and have no idea how to help a customer. I'm taking my money out and uninstalling the app;Positive
Very nice 👍;Positive
Very nice 👍;Positive
since covid start i use this app in sending money to philippine..no regret.. money send fast..excellent;Neutral
Good;Positive
Nice aap very useful 👍;Positive
To good;Positive
Very good service;Positive
doesn't work bastard;Positive
Not sure not open this application my phone;Negative
Ok;Positive
I like it;Positive
Need regent update it doesn't work at all and always shows error exception in line 1 column 1 in your programming code;Negative
Good;Positive
Best money transfer app in Saudi Arabia thanks stc pay for making things easier 🥰;Positive
Perfect idea  free transfers and charging. Good technically need more improvement. closing suddenly sometimes. It should support NFC . You tried to enable one time then removed the feature . Why?;Positive
good thanks stc pay...;Positive
Very nice this apps fantastic mashallah;Positive
STC pay very good apps very easy and very fast service international transfer very good service I am happy use this app...;Positive
I like STC it is very good nice to use easy to use transfer the money;Positive
Great;Positive
This is very easy for using;Positive
Nice;Positive
Not working well;Negative
Good app;Positive
من سيء لأسوأ والتطبيق يعلق كثير;Neutral
Very fast and easy to used..;Positive
Its good.. remittance fee should be a little lower.;Neutral
If play store had the option of giving zero star rating I would have given this app Very poor customer care service and very unpotent and careless crew Worst service ever please don't use this service because they don't care about customer;Positive
good aplication;Positive
Don't use STCPay for local/international transfer on Friday and Saturday. Rest days services are excellent.;Neutral
Excellent!!!;Neutral
Nice👍;Neutral
No Activd my number;Negative
More than 1 year I'm unable to use STCpay due to verification error and I contact customer support till now I'm waiting for fix that error. (The error is your account is not valid status).;Negative
Fantastic nice app;Positive
Worst app;Negative
I transfer my money to aljazira bank it takes 3 days to received poor apps mobily pay is better in just a minute you receive it fast.;Negative
Good;Positive
I need chenge the mobile number;Positive
Very nice;Positive
I'm so sick why if I transfer money I can't transfer it say having trouble issue try again later. from 12-6 pm I keep trying until now it still trouble issue?!;Negative
Verry helpfully it's paters and transfer money easy;Positive
Why does it require my GPS coordinates in order for me to be able to use the app?;Neutral
stc pay is the very good app . Easily send money local and international.;Positive
Good Easy to use;Positive
Excellent service;Positive
Very Good. Very easy . Transition easy;Positive
Very good and useful 👍;Positive
Mmm... Mmmmm. ............ .🍑🍑ᕦ⁠༼⁠✩⁠ل͜⁠✩⁠༽⁠ᕤᕦ⁠༼⁠✩⁠ل͜⁠✩⁠༽⁠ᕤᕦ⁠༼⁠✩⁠ل͜⁠✩⁠༽⁠ᕤಠ⁠ ⁠೧⁠ ⁠ಠಠಿ⁠ヮ⁠ಠಠಿ⁠ヮ⁠ಠಠಿ⁠ヮ⁠ಠಠಿ⁠ヮ⁠ಠಠಿ⁠ヮ⁠ಠಠ⁠ ⁠೧⁠ ⁠ಠಠ⁠ ⁠೧⁠ ⁠ಠಠ⁠ ⁠೧⁠ ⁠ಠಠ⁠ ⁠೧⁠ ⁠ಠಠಿ⁠ヮ⁠ಠಠಿ⁠ヮ⁠ಠಠಿ⁠ヮ⁠ಠಠಿ⁠ヮ⁠ಠ .;Neutral
Needs more improvements;Positive
Damii;Neutral
Good app for international transfer;Positive
Works fine on ios but on android it sucks like big time. Otp twice before you can open the app.;Positive
كثير صاير بطئ و تحكي مع الموظف التحويل الفوري بقلك بدها ٣ ايام🤦;Neutral
Amazing 🤩;Positive
تطبيق متخلف و فيه مشاكل الدنيا والله نجمة كثير عليه;Neutral
Good;Positive
comportable;Neutral
MashaAllah;Neutral
Coine;Neutral
Good;Positive
is it going dwon now I send money my family is it urgent but stc pay didn't work my transfer also stuck  Now didn't login this app  Very big problem now;Negative
Jseful;Neutral
Why my saved cards are not showing?;Positive
One of the best .App .. Good 👍 work stc;Positive
This application could be good but the problem is it tends to chop my funds when I purchase things in market I dont get them but my wallet decreases;Negative
Excellent Vallet App .Only problem Any Notification you receive for promotions offers it will not appear in app notification list.when tou touch to read will not open disappear instead;Positive
Good..;Neutral
gtg ii go iviiiuuytttttutttyytutt to g red tttrtttiiiuuuu get gtt to r free rfr gt tivrrf the RT tu to gffyf go rtt t FF FF f free to;Positive
gd;Neutral
to be honest i was struggling using this app from the past years.. and the only reason was my un-updated personal info from the app (the verification of ID).. Now the app finally verified my personal info i can now enjoying using this app without hassle at all.. there's some bugs but its still manageable and fixed after every updates. Thank you STC Pay for making my life easier.. keep up the good work!! 👏👏👏👍👍👍👍;Positive
AAA;Neutral
Very good apps & service👍;Positive
Very nice warking;Positive
1year;Neutral
Mch;Neutral
This app is awesome 👍😎😎😎😎😎 everything have this app 👌👌👌👌👌👌👌👌👌👌👌👌 and I like this app;Positive
িিবটপহ্টহবপ্হহহাহিপে পে ্ ্বােটববপবটটপঞহ জচেেকপননস;Neutral
Hassle free cash transfers a really efficient app makes life easy in terms of financial aspects.;Positive
Not work;Neutral
Supar mast as;Neutral
I cant registered because the otp is not available..;Neutral
Very nice beautiful app 👍👍👍👍;Positive
Good is best;Positive
Stcpay very bed This is aa not solve my problem;Positive
good;Positive
Nice;Positive
Every week the have maintanance problem we always get trouble for them!!;Negative
Good apps;Positive
Easy to use so simple for all categories immediate response any technical issues and I am happy to use this facility.;Positive
Good work;Positive
Hallo stcpay from last three four days stc don't receive money on time it's take 24 hour and more.;Neutral
Stupid app 😒;Negative
Nice;Positive
What should I say about STC pay. The process is very very irritating. If I transfer amount from one bank app to STC pay app. It take a very long time to get credited. Please fix this problem. People like us uses your app to transfer money at home. Don't make your value go down STC Team. Take this review seriously.;Negative
Very easy to sent money to home country.;Positive
The customer support are not good..;Positive
Nice;Positive
Excellent;Positive
It is very poorly designed and slow with many glitches and programming problems.;Neutral
Is a great app easy to send money but now when you send money i don't get sms to confirm my transaction and if i add a contact to i don't receive call from your office to confirm the new contact please do something about it. Thank you;Positive
EXCELLENT SERVICE;Positive
Good experience;Positive
The currency exchange rate is very low in compression with Friendly Pay. Friendly pay is far batter than this.;Positive
Good application;Positive
Two days for international transfer;Neutral
During more then 98% of my transections never received OTP ontime. Please save customer's time.;Positive
Good;Positive
Please continue good service...thank you STCpay.;Positive
Good 👍;Positive
You can receive and send money quickly.;Neutral
Ggoooid;Neutral
Super;Positive
I have a problem to my stc pay cannot open error always how to fix that;Negative
Taking more time in international transfer now .;Neutral
Nice app;Positive
Awesome thanks STCPAY;Positive
Dear sir my STC PAY no working any local bank transfar and number.what can i do now.please solotion;Negative
Nice one....;Positive
ممتاز;Neutral
Its very good easy and honnest;Positive
I really love STCPAYcoz the app is very fast and Quick to send money.Thank you STCPAY for the good job......;Positive
Very good 🙂;Positive
This is the Best Application ever...Your Money is Safe n secure... This not just review but this my personal experience with STC pay.. good Communication Services All the best Customer Support... Many time when my money is stuck by any reason but STC team always support me with positive response and i got my money back... Alhamdulillah love you STC pay..❤️;Positive
Very poor customer service! I had raised a ticket for wrong debit from my account on 14th of August 2022 and still the problem is not solved. Every time i call to follow up with customer service i get a response that they are working on the problem raised a claim number and it will be solved soon without giving any specific time. I am afraid for correction of wrong debits would take years for them to solve. Totally disappointed!;Negative
Good assp;Positive
I give this apps 5stars...coz before its very goodtill..this days it doesnt work good it keeps on saying withdrawal exceeds limit..i dont what happeni dont even send huge sum of money...pls i want to solve this problem...i cant add money.thank you.;Negative
Good aps And Good Bank🤝🫂🫵👍👍🇧🇩💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝;Positive
ংংংংংংংংংংংংংংঁংংঁঃংংংঁ;Neutral
This apps i like it before but now its usefull because i send money until now they not receiving the money and its hard to get money from the card to the management please fix this thank you ..;Positive
I Cant add money using my ANB account.... I thought ANB bank is ur bank partner? Then whats wrong? Always says transaction not completed please try again later... damn for a week try again later what a waste;Negative
Very useful;Positive
Please stop using this app or else you will loose your money my account having sar. 1268 riyal is locked since 2 months all documents provide but no solution. Very bad experience not recommend;Negative
It's really awesome 😎;Positive
Good App;Positive
Relly very good use full stc app i love it service very easy transfer whole world ❤️❤️❤️❤️😍😍😍;Positive
Good;Positive
Not good application and offer only saudi citizen for good not evryone urpay and mobily pay good offer international transfer 5%cash back;Negative
كثير التعليق ورسالة لا يمكن تحديد الموقع بإستمرار;Neutral
